stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390BT03,,"Boots, D82 Green Stop C",,52.9279080333,-1.1873256892,,,,,,
3390BT06,,"Boots, B Road",,52.9252627072,-1.1896064806,,,,,,
3390BT07,,"Boots, D90",,52.9266332653,-1.1849545851,,,,,,
3390BT10,,"Boots, Fifth Avenue",,52.9256123637,-1.1855241374,,,,,,
3390BU01,,"Bulwell Bus Station",,52.9998457403,-1.1971812974,,,,,,
3390BU02,,"Bulwell Bus Station",,52.9998564377,-1.1974344115,,,,,,
3390BU03,,"Bulwell Bus Station",,52.9998759219,-1.1976575615,,,,,,
3390BU04,,"Bulwell Bus Station",,52.9997288926,-1.1971834642,,,,,,
3390BU05,,"Bulwell Bus Station",,52.9997485784,-1.197436411,,,,,,
3390BU06,,"Bulwell Bus Station",,52.9997596772,-1.1977491201,,,,,,
3390BU07,,"Bulwell Bus Station",,52.9996300215,-1.1971852976,,,,,,
3390BU10,,"Bulwell Market",,53.0005989455,-1.1968991117,,,,,,
3390BU11,,"Vernon Rd, Basford Crossing",,52.985062225,-1.1819489464,,,,,,
3390BU111,,"Acton Avenue",,52.9874038983,-1.1839008454,,,,,,
3390BU12,,"Acton Avenue",,52.9875674244,-1.184151005,,,,,,
3390BU13,,"Catchems Corner",,52.9896592386,-1.1850650231,,,,,,
3390BU14,,"Bedford Grove",,52.9921026833,-1.1874474285,,,,,,
3390BU15,,"Highbury Hospital",,52.9934285911,-1.1894189523,,,,,,
3390BU16,,Piccadilly,,52.9944319718,-1.1902345066,,,,,,
3390BU17,,"Deptford Crescent",,52.9968235066,-1.1929313244,,,,,,
3390BU18,,"Cantrell Road",,52.9977538461,-1.1935844831,,,,,,
3390BU19,,"Bulwell Church",,52.9999748518,-1.1950033892,,,,,,
3390BU20,,"Duke Street",,53.0023827476,-1.1974769846,,,,,,
3390BU21,,"Merchant Street",,53.0036885212,-1.1951578591,,,,,,
3390BU22,,"Squires Avenue",,53.0060661771,-1.1931613701,,,,,,
3390BU23,,"Ludford Road",,53.007794338,-1.1921604277,,,,,,
3390BU24,,"Hucknall La, Morrisons",,53.0090325919,-1.1918243323,,,,,,
3390BU25,,"Ventura Drive",,53.0112181271,-1.1906656676,,,,,,
3390BU26,,"Hucknall La, Lawton Dr",,53.0125257455,-1.1899555762,,,,,,
